"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"TALL_002",0.104396234633236,0.121641480342077,0.0343518931141696,0.0606062335842817,0.325382109621977,0.0777638136465008,0.114438312056223,0.0571471991900745,0.0487126306087498,0.0555600932027115
"TALL_003",0.146205768459557,0.209241109109633,0.0501834675732848,0.0738541212872948,0.0869627480304654,0.17901683921645,0.112299868495275,0.068969165668217,0.0261095948552321,0.0471573173045912
"TALL_004",0.0803222417268785,0.0845491175049247,0.0293829896107717,0.0551937929543677,0.452793286980435,0.0464275096843821,0.099772269114778,0.0485760251124133,0.0513613808664827,0.051621386444566
"TALL_006",0.104832114027169,0.124547218856395,0.0351250162590188,0.0572661832097423,0.323015449772654,0.0831813644472351,0.111505069411106,0.0557437921534231,0.0486035078115604,0.0561802840516966
"TALL_007",0.125891649005287,0.163348814813618,0.0476339573017461,0.0612047434846611,0.211829854322429,0.125231777275685,0.107705337690999,0.0614214730322004,0.0389514869636691,0.0567809061097059
"TALL_009",0.0770683709475082,0.0860897059931266,0.0270078401105858,0.0429032240373234,0.47225741441269,0.0534502301854761,0.0921927157610228,0.0434449870359552,0.053380327102406,0.0522051844139064
"TALL_044",0.0785509783614677,0.0860063371050861,0.0299627772831617,0.0467092089488385,0.467228178916599,0.0507887335850709,0.0914904184114874,0.0452744756235366,0.0512866856980409,0.0527022060667116
"TALL_051",0.0785295819946035,0.0838537902947434,0.0301343915111248,0.0519277076558298,0.46179089530248,0.0474594230325467,0.096870658673217,0.0472622392183714,0.0503932677138623,0.0517780446032214
"TALL_054",0.0802460446803918,0.0847724295677996,0.0291982620360583,0.0546348807747641,0.451983203534507,0.0473875973289477,0.100068807464881,0.0484310014774609,0.0514734041063483,0.0518043690288416
"UNDE_001",0.133805944789143,0.227937625124935,0.082390592230275,0.0527798457354222,0.183617363341591,0.0954753070540541,0.0505731699316034,0.0973160827320641,0.0288658791763024,0.04723818988461
"UNDE_006",0.123590519957149,0.21291311250166,0.0680519382299551,0.0411735112719844,0.237939915052863,0.0965740553728476,0.0488492586315075,0.0860230461348502,0.0352170088051936,0.0496676340419901
"UNDE_007",0.128063563579397,0.220051988624654,0.0753403664927653,0.046377743121476,0.212549907526638,0.0952751701525877,0.0495483301982344,0.0921247908325123,0.0322672871257053,0.0484008523460298
"UNDE_008",0.129752865689159,0.222900228237294,0.0782425005042115,0.0471132550310191,0.203041552628646,0.0977749525605586,0.0489982792286538,0.0929837958300797,0.0311222005281966,0.0480703697621821
"UNDE_013",0.128615517367364,0.222536644336444,0.0770697723506847,0.0452556216649272,0.209712993583186,0.0976292577919879,0.0483760097918034,0.0906096651635295,0.0317586156728826,0.0484359022771913
"UNDE_014",0.128073979627834,0.221747313935017,0.0759836983503205,0.0454230265915961,0.211057822574417,0.0972857817346998,0.0488005744249502,0.0909679628968248,0.0319385723266882,0.0487212675376527
"UNDE_017",0.129549579517244,0.221414402111341,0.0755098374352291,0.0475088924022784,0.206827658569711,0.0961607454045158,0.0499369085098402,0.0928974459470618,0.0318756255657154,0.0483189045370636
"UNDE_019",0.128589860624721,0.222457574518779,0.0748253453416688,0.0460134653048925,0.210315890319906,0.0961195189941267,0.0493105499683844,0.0920963957886491,0.031955722268808,0.0483156768700651
"UNDE_027",0.128599065982729,0.222431979409143,0.0769433795087891,0.045590182869331,0.207901032143562,0.0991916942652784,0.0483502658040608,0.0907131496307121,0.0317626532243667,0.0485165971620276
"UNDE_032",0.128136471469779,0.21951991992781,0.0747254383125877,0.0463793116204895,0.214115321777096,0.0951940564718813,0.0494144008942456,0.0917002170934513,0.0322091892440166,0.0486056731886424
"UNDE_034",0.128036521631641,0.222408714310557,0.0781126256046849,0.0441143262065433,0.209116618488584,0.100799978679997,0.0474298082468067,0.0895198401409511,0.0315128387859338,0.0489487279043011
"UNDE_035",0.127830281846642,0.218649588076826,0.074213124735384,0.0466328604164602,0.215127126210183,0.0948212731068884,0.0498734738993694,0.0918307726826659,0.0324882749798863,0.0485332240456952
"UNDE_037",0.147974673426832,0.272951087281753,0.080586776445044,0.0549952466636309,0.0972325968275286,0.128767104795843,0.0512036106665179,0.101796971594131,0.0227381073639649,0.0417538249347539
"UNDE_043",0.101679046805419,0.162976043194407,0.0636813403127481,0.036558112848369,0.359078261653815,0.0648381542696391,0.043868206576052,0.0769968047876328,0.0397385548007153,0.050585474751203
"UNDE_044",0.0922915445510989,0.144737836650405,0.0585398265491122,0.0333243867644968,0.411267084322043,0.0563780834021918,0.0414160550392876,0.0709295126144288,0.0413045078442356,0.0498111622627002
"WOOD_001",0.111326861601821,0.064149736226117,0.0672181605265351,0.0166422300579059,0.26994726753106,0.172152678351866,0.0462389056642644,0.0532313398456779,0.127185326855769,0.0719074933389831
"WOOD_002",0.108814415072606,0.062483670993087,0.0641250446513359,0.0160339855496689,0.280018424007961,0.169003673532086,0.0457502423561067,0.0518175772558028,0.130387079694879,0.0715658868864673
"WOOD_003",0.112015288068791,0.0644042415778236,0.0676590095379304,0.016729915172927,0.266893160174154,0.173858715228301,0.0458298972418851,0.0532314161778574,0.127471875051158,0.071906481769173
"WOOD_005",0.106275540314322,0.0609329083908614,0.0611528671241819,0.0150481890042145,0.287358155982352,0.169136759674388,0.0442502175685314,0.0492566404189986,0.13503330453691,0.07155541698524
"WOOD_021",0.110658570603965,0.063676111414807,0.066223561467355,0.0164996323344058,0.273831280962128,0.171524545799568,0.0451549856882254,0.0523529092098239,0.128776329893663,0.0713020726260591
"WOOD_022",0.10343826359153,0.0593337582324495,0.058631455678988,0.0145788171631671,0.298872332362133,0.164124777663735,0.0444873304408045,0.0486131380574429,0.136761662670528,0.0711584641392219
"WOOD_024",0.106838301959751,0.0615883848281328,0.0630545869053612,0.0153902647299283,0.28421194800928,0.169540507961457,0.044890470044468,0.0504663972160699,0.13217482429013,0.0718443140554225
"WOOD_042",0.114380430224642,0.0655417600322197,0.0711294975805296,0.01786848075019,0.259766623552939,0.174101914327072,0.0464204194783041,0.0547864066683863,0.124369827068461,0.0716346403172561
"WOOD_043",0.110503151333656,0.0634027490601755,0.0665828199468981,0.0162311084296871,0.271866695789005,0.173521954724945,0.0450960350745276,0.0519564977639399,0.129135585034475,0.0717034028426906
"WOOD_044",0.111578240401684,0.0639562817017822,0.0669382220847342,0.0165057935337621,0.26921658279719,0.174372110700169,0.0452451504180391,0.0521240666795734,0.128345906927075,0.0717176447559912
