"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"HARV_033-O-23-30-20140717",0.0644088251386559,0.110179828306305,0.0377006012551215,0.025649456624969,0.495775933376077,0.0490846014068152,0.0743795775564634,0.0726041319987359,0.0262473947935668,0.043969649543291
"HARV_033-O-30-38-20140717",0.0654621477721967,0.114494699212788,0.0405418408334721,0.0245865341633123,0.48841273885239,0.0529759763423353,0.0710287215900515,0.0716029695492555,0.0259597096246164,0.0449346620595821
"HARV_034-M-23-8-20140717",0.102227440042452,0.137689158863315,0.0526996326527727,0.0512344635877054,0.368767281320653,0.0520498351325592,0.0675184296367955,0.0815645072483777,0.0371039889467435,0.0491452625686262
"HARV_034-M-31-3-20140717",0.103529310539538,0.136678676413924,0.0515394565557201,0.0543657738186851,0.36433353064759,0.0505207076768236,0.0694995304534504,0.0826551609584707,0.0378399413057479,0.0490379116300498
"HARV_035-M-18-37-20140717",0.103374047531681,0.132960209398288,0.0481166789528103,0.0590761641396305,0.365044931222334,0.0465764618182779,0.0730654486625344,0.0847705762097908,0.0388405723133437,0.0481749097513097
"HARV_035-O-18-37-20140717",0.0523772170397618,0.0781541484220578,0.0256642708261528,0.027459164658778,0.581344706416466,0.0283854054778129,0.0746536681329938,0.0647640367654144,0.0289761848525533,0.0382211974080088
"JERC_001-M-17-34-20140710",0.0529849176134962,0.0219790754525193,0.0256575334587177,0.0140960097769268,0.618224134759178,0.053277718146554,0.0547147595451383,0.021370937223912,0.0568556194924736,0.0808392945310846
"JERC_001-M-29-2-20140710",0.0531195494280397,0.0220160737479507,0.0257760133133591,0.0141299464418904,0.617795897926349,0.0533315454120464,0.0546871927523814,0.0215670088578809,0.0568073345011244,0.0807694376189778
"JERC_001-M-7-5-20140805",0.0548829715633773,0.022768502706015,0.0272591404189301,0.0146331883772583,0.609037203256767,0.055476378643584,0.0553248575462674,0.0221181925938456,0.0564000606148681,0.0820995042790873
"JERC_001-M-9-17-20140805",0.0539807397496132,0.0223486186622097,0.0264670984714134,0.0144460810830599,0.613130689900715,0.0542486047425973,0.0554110542443014,0.0217969353767089,0.0566379842955267,0.0815321934738548
"JERC_002-M-11-0-20140805",0.0546003523242777,0.020863573963196,0.0225479427685834,0.0195651100949498,0.607452177308194,0.0434596466251114,0.067705683688697,0.0245914503563013,0.060749062920039,0.0784649999506503
"JERC_002-M-12-7-20140710",0.0531037130136992,0.0203789288128624,0.0216814254236843,0.0184757747742435,0.615621425843225,0.0429897969800305,0.0652407998619901,0.0236011514153802,0.061345979755266,0.0775610041196186
"JERC_002-M-27-36-20140805",0.0516243765755398,0.0198460580058938,0.0207816659724289,0.0175503609246366,0.623333449828687,0.0422538264142643,0.063516468876179,0.0228067878348326,0.0616556372594768,0.0766313683080612
"JERC_002-M-30-5-20140805",0.0637231624799358,0.0241121917355931,0.027942911585811,0.0250001836109516,0.563391211344533,0.0483152989999479,0.0754070202146473,0.0292823450071907,0.0592719307617949,0.0835537442595946
